barometerValue,gzValue,mzValue,gpsTimeInMillis,systemTimeInMillis,myValue,zValue,tc,mxValue,latitudeValue,gxValue,lightValue,longitudeValue,xValue,altitudeValue,gyValue,yValue,globalFrame,temperatureValue
1004.8419,0.0009765625,-52.66571,1682811867000,1682811864615,25.505066,9.542572,00:58:57:20,24.916077,34.030098,0.00015258789,35.0,-118.75661,0.275177,24.0,0.0015106201,0.098098755,1157,0.0
1004.8419,0.0009765625,-51.956177,1682811867000,1682811864657,26.818848,9.566513,00:58:57:21,24.94812,34.030098,-0.0022888184,35.0,-118.75661,0.27278137,24.0,-0.002166748,0.098098755,1158,0.0
1004.8419,0.0009765625,-51.953125,1682811867000,1682811864701,26.159668,9.556931,00:58:57:22,24.932861,34.030098,0.002609253,38.0,-118.75661,0.2679901,24.0,-0.00093078613,0.093322754,1159,0.0
1004.8419,0.0021972656,-52.66571,1682811867000,1682811864746,25.489807,9.540192,00:58:57:23,24.22638,34.030098,-0.0010681152,38.0,-118.75661,0.26081848,24.0,-0.00093078613,0.093322754,1160,0.0
1004.8419,-0.0014648438,-51.231384,1682811867000,1682811864783,24.824524,9.549759,00:58:58:00,24.212646,34.030098,-0.0010681152,38.0,-118.75661,0.25842285,24.0,-0.00093078613,0.093322754,1161,0.0
1004.8395,-0.00024414062,-51.9516,1682811867000,1682811864811,26.176453,9.549759,00:58:58:01,25.622559,34.030098,-0.0010681152,38.0,-118.75661,0.26081848,24.0,-0.002166748,0.095718384,1162,0.0
1004.8395,-0.0014648438,-51.239014,1682811867000,1682811864865,26.156616,9.556931,00:58:58:02,24.932861,34.030098,0.002609253,38.0,-118.75661,0.25602722,24.0,-0.002166748,0.093322754,1163,0.0
1004.8395,-0.0026855469,-54.80957,1682811867000,1682811864891,25.46997,9.547363,00:58:58:03,22.84851,34.030098,0.00015258789,35.0,-118.75661,0.26081848,24.0,0.0002746582,0.100494385,1164,0.0
1004.8395,-0.0014648438,-51.942444,1682811867000,1682811864948,24.183655,9.549759,00:58:58:04,24.88556,34.030098,0.00015258789,35.0,-118.75661,0.26560974,24.0,-0.00093078613,0.088531494,1165,0.0
1004.8395,0.0009765625,-54.82025,1682811867000,1682811864967,27.490234,9.561722,00:58:58:05,24.961853,34.030098,-0.0022888184,35.0,-118.75661,0.24645996,24.0,-0.002166748,0.098098755,1166,0.0
1004.8395,0.0021972656,-52.671814,1682811867000,1682811865063,26.8219,9.542572,00:58:58:06,24.946594,34.030098,-0.0022888184,35.0,-118.75661,0.2679901,24.0,0.0002746582,0.095718384,1167,0.0
1004.8395,-0.0014648438,-51.235962,1682811867000,1682811865097,25.468445,9.537796,00:58:58:07,23.539734,34.030098,0.001373291,38.0,-118.75661,0.2632141,24.0,-0.00093078613,0.090927124,1168,0.0
1004.8395,0.0009765625,-51.960754,1682811867000,1682811865142,27.476501,9.552155,00:58:58:08,24.963379,34.030098,-0.0010681152,38.0,-118.75661,0.279953,24.0,-0.00093078613,0.090927124,1169,0.0
1004.8395,0.0021972656,-50.52185,1682811867000,1682811865184,26.19934,9.549759,00:58:58:09,26.998901,34.030098,-0.0022888184,38.0,-118.75661,0.2679901,24.0,0.0027160645,0.090927124,1170,0.0
1004.8387,-0.0014648438,-51.950073,1682811868000,1682811865219,25.502014,9.5234375,00:58:58:10,24.917603,34.030098,-0.0010681152,38.0,-118.75661,0.26560974,24.0,0.0002746582,0.088531494,1171,0.0
1004.8387,0.0009765625,-51.950073,1682811868000,1682811865262,25.456238,9.554535,00:58:58:11,22.850037,34.030098,0.00015258789,38.0,-118.75661,0.27278137,24.0,0.0015106201,0.14117432,1172,0.0
1004.8387,-0.00024414062,-52.668762,1682811868000,1682811865299,26.14746,9.559326,00:58:58:12,24.241638,34.030098,-0.0010681152,35.0,-118.75661,0.25842285,24.0,-0.0033874512,0.098098755,1173,0.0
1004.8387,-0.00024414062,-51.953125,1682811868000,1682811865342,26.14441,9.568893,00:58:58:13,24.243164,34.030098,0.002609253,35.0,-118.75661,0.27038574,24.0,-0.00093078613,0.095718384,1174,0.0
1004.8387,-0.0014648438,-51.231384,1682811868000,1682811865385,24.809265,9.559326,00:58:58:14,23.524475,34.030098,-0.0010681152,35.0,-118.75661,0.2536316,24.0,-0.002166748,0.098098755,1175,0.0
1004.84796,-0.0026855469,-51.234436,1682811868000,1682811865421,25.515747,9.59761,00:58:58:15,25.6073,34.030098,-0.0010681152,35.0,-118.75661,0.3134613,24.0,0.0015106201,0.14356995,1176,0.0
1004.84796,0.0009765625,-51.242065,1682811868000,1682811865456,26.815796,9.537796,00:58:58:16,24.94812,34.030098,0.013595581,35.0,-118.75661,0.25602722,24.0,-0.00093078613,0.090927124,1177,0.0
